txn_id,from_account,to_account,amount,channel,timestamp,is_fraud,fraud_type,customer_age,account_age_days,kyc_tier,avg_monthly_balance,transaction_count_30d,avg_txn_amount,std_txn_amount,max_txn_amount,min_txn_amount,hour_of_day,day_of_week,is_weekend,is_holiday,geo_distance_from_home,device_risk_flag,device_account_count,counterparty_risk_score,is_international,channel_switch_count,currency,ip_address,device_fingerprint
TXN-N-000178,ACC-00166,ACC-00041,48220.76,NEFT,2026-01-17T09:56:01,0,none,49,918,2,10003.21,19,1195.9,8932.68,22896.88,10.0,9,5,1,0,1.66,0,3,0.1798,0,1,INR,sha256:8378fb00515dbaf3,dev_fp_fa9b8380
TXN-N-000302,ACC-00382,ACC-00280,618.83,UPI,2026-02-22T08:43:20,0,none,53,69,2,19997.66,18,942.52,11894.22,23837.87,10.0,8,6,1,0,3.11,0,3,0.1403,0,2,INR,sha256:46a3c577a1511a19,dev_fp_6bf688a5
TXN-N-000489,ACC-00302,ACC-00404,5150.71,UPI,2026-03-14T17:36:49,0,none,58,274,3,20143.27,22,882.05,4054.73,9037.46,10.0,17,5,1,0,4.04,0,3,0.0596,0,0,INR,sha256:d33e5f2994d704bb,dev_fp_9687e434
TXN-N-000841,ACC-00133,ACC-00409,40.22,POS,2026-03-30T07:45:17,0,none,35,963,2,71916.52,13,851.52,10958.64,21308.04,10.0,7,0,0,0,2.64,0,4,0.145,0,0,INR,sha256:51d7b8f7653b6424,dev_fp_1412da18
TXN-N-000130,ACC-00184,ACC-00227,772.95,NEFT,2026-03-17T16:14:41,0,none,32,2028,2,113681.91,21,1070.15,11253.8,23410.5,10.0,16,1,0,0,2.24,0,2,0.1362,0,0,INR,sha256:8c8748326c6bcfe3,dev_fp_50e391f3
TXN-N-000324,ACC-00313,ACC-00484,675.8,UPI,2026-03-27T17:12:27,0,none,37,1022,2,49144.78,19,422.2,5178.91,12280.94,10.0,17,4,0,0,9.59,0,2,0.0035,0,2,INR,sha256:a54e439295b8f16c,dev_fp_6a8b1611
TXN-N-000058,ACC-00102,ACC-00042,699.82,ATM,2026-02-05T09:07:32,0,none,23,2502,2,52475.58,14,845.17,9782.44,15932.58,10.0,9,3,0,0,1.31,0,1,0.0157,0,0,INR,sha256:22cfd7fe61e90bbb,dev_fp_d6254472
TXN-N-000140,ACC-00026,ACC-00304,101.82,IMPS,2026-01-18T10:56:13,0,none,31,2090,2,16116.17,12,1837.08,3856.46,10948.77,10.0,10,6,1,1,1.93,0,4,0.1595,0,0,INR,sha256:ce718a37eeb62f65,dev_fp_fdb7ba49
TXN-N-000375,ACC-00344,ACC-00078,442.3,ATM,2026-01-14T12:47:03,0,none,18,3156,2,18468.82,13,2410.55,9965.02,27709.65,10.0,12,2,0,0,4.57,0,2,0.0991,0,0,INR,sha256:63e299562515ff99,dev_fp_8f2ddece
TXN-N-000605,ACC-00272,ACC-00466,49022.74,NEFT,2026-03-20T11:26:20,0,none,19,1701,2,19655.71,11,1104.91,11440.82,15878.35,10.0,11,4,0,0,1.3,0,4,0.1762,0,3,INR,sha256:653a3f9ea1fce5f4,dev_fp_61267457
TXN-N-000391,ACC-00157,ACC-00320,279.57,UPI,2026-02-09T08:52:41,0,none,18,3223,2,74886.14,9,771.92,12639.98,15100.52,10.0,8,0,0,0,0.46,0,2,0.1788,0,1,INR,sha256:15374dd5a4132e41,dev_fp_d57fa3b4
TXN-N-000101,ACC-00222,ACC-00003,1152.69,UPI,2026-01-08T09:42:43,0,none,50,2408,3,14339.25,25,1471.85,14295.73,44210.92,10.0,9,3,0,0,4.21,0,2,0.0219,0,1,INR,sha256:7283e7ca1c636cbb,dev_fp_3a0e6ce8
TXN-N-000287,ACC-00333,ACC-00127,52807.93,NEFT,2026-03-29T10:54:22,0,none,45,332,3,73344.97,14,1698.97,9330.92,25380.48,10.0,10,6,1,0,5.16,0,3,0.0948,0,1,INR,sha256:f442e8a06e0ac4c5,dev_fp_a78e5418
TXN-N-000275,ACC-00344,ACC-00328,55028.61,NEFT,2026-02-07T15:33:18,0,none,69,3057,2,7825.83,14,1862.35,14021.77,29572.31,10.0,15,5,1,0,2.32,0,3,0.1149,0,2,INR,sha256:28b7a9f1b61f0ad7,dev_fp_042a3f0c
TXN-N-000831,ACC-00199,ACC-00257,616.46,ATM,2026-02-25T09:15:37,0,none,28,950,2,24200.18,19,1397.17,2044.78,6773.06,10.0,9,2,0,0,2.59,0,2,0.179,0,2,INR,sha256:6efba6b5c795083d,dev_fp_ff2d66c3
TXN-F-MULE-000001,ACC-00135,ACC-00035,353114.38,IMPS,2026-01-15T01:38:00,1,mule,26,177,1,3470.46,47,8497.1,63527.68,296072.06,5813.24,1,3,0,0,35.59,1,9,0.9224,0,2,INR,sha256:efd3d60f61a19b2c,dev_fp_1841229d
TXN-N-000829,ACC-00257,ACC-00128,2488.61,UPI,2026-02-26T14:43:19,0,none,64,2730,3,14285.45,11,1625.25,13763.62,24972.68,10.0,14,3,0,0,1.47,0,2,0.1845,0,0,INR,sha256:ee9840898bd9376f,dev_fp_3fb1f382
TXN-N-000642,ACC-00259,ACC-00186,161.05,NEFT,2026-03-23T20:51:51,0,none,56,1294,3,6185.22,18,1425.47,5717.56,7863.63,10.0,20,0,0,0,7.96,0,3,0.1143,0,2,INR,sha256:7dcdf703d489349a,dev_fp_00be46e1
TXN-N-000894,ACC-00317,ACC-00288,594.56,ATM,2026-02-28T14:44:01,0,none,59,279,3,154943.61,18,2449.03,11000.58,27343.31,10.0,14,5,1,0,0.65,0,1,0.1153,1,1,INR,sha256:6edaef8a24cb7506,dev_fp_97498202
TXN-N-000338,ACC-00091,ACC-00343,393.34,IMPS,2026-03-22T22:50:06,0,none,67,1707,3,28976.86,13,1133.91,2497.56,5474.95,10.0,22,6,1,0,4.46,0,2,0.2653,0,1,INR,sha256:da35ad9a63729dc0,dev_fp_dffb3de1
TXN-N-000885,ACC-00446,ACC-00358,44275.26,NEFT,2026-02-21T18:29:20,0,none,38,575,2,56871.77,13,795.07,6359.68,14217.97,10.0,18,5,1,0,2.51,1,4,0.1589,0,2,INR,sha256:8ec7a1a4b4098d46,dev_fp_54dbeeaf
TXN-N-000771,ACC-00482,ACC-00339,11629.02,UPI,2026-03-19T17:36:20,0,none,41,3319,3,9714.54,13,986.17,3249.04,9478.19,10.0,17,3,0,0,2.68,0,2,0.2444,0,1,INR,sha256:0ac0b7ccbb3cf51a,dev_fp_fcd1c81e
TXN-N-000650,ACC-00429,ACC-00350,274.64,UPI,2026-02-23T18:57:20,0,none,18,1890,2,11531.5,22,831.61,12226.76,19642.73,10.0,18,0,0,0,14.15,0,2,0.2346,0,0,INR,sha256:2e994065006c497d,dev_fp_7ccd8bda
TXN-N-000317,ACC-00325,ACC-00067,413.07,ATM,2026-03-24T14:36:53,0,none,34,2411,3,6573.64,14,818.42,6555.77,17032.82,10.0,14,1,0,0,1.46,0,2,0.0079,0,3,INR,sha256:553d7c090b3a5269,dev_fp_bf520689
TXN-N-000774,ACC-00090,ACC-00360,22.61,POS,2026-03-25T10:41:19,0,none,58,1647,2,42443.08,18,1248.69,12681.83,15660.48,10.0,10,2,0,0,5.1,0,4,0.2254,0,1,INR,sha256:dc336d637d231b48,dev_fp_9ed035d8
TXN-N-000134,ACC-00237,ACC-00463,1860.58,ATM,2026-02-11T11:10:38,0,none,60,2940,3,104401.63,12,1589.91,6116.18,8515.44,10.0,11,2,0,0,3.72,0,1,0.1035,0,3,INR,sha256:10e1889c052444a7,dev_fp_922cb2ad
TXN-N-000651,ACC-00442,ACC-00138,63.53,UPI,2026-01-26T13:13:07,0,none,68,158,2,47557.81,18,1787.92,10555.04,16179.66,10.0,13,0,0,0,11.01,0,3,0.2895,0,2,INR,sha256:c85f20b4702e57c1,dev_fp_d478fc51
TXN-F-LAYER-000000,ACC-00453,ACC-00048,187013.26,IMPS,2026-02-11T09:00:00,1,layering,27,58,2,15798.54,27,20106.44,18338.91,431267.57,43589.29,9,2,0,0,12.17,0,2,0.5495,0,3,INR,sha256:744a947960009272,dev_fp_ab475d67
TXN-N-000294,ACC-00235,ACC-00475,805.04,ATM,2026-03-09T19:09:50,0,none,53,2911,2,19408.79,17,390.08,11234.39,18651.83,10.0,19,0,0,0,7.9,0,3,0.1014,0,0,INR,sha256:785bc1d63cf40ade,dev_fp_63564608
TXN-N-000718,ACC-00027,ACC-00166,8280.08,UPI,2026-01-04T11:08:53,0,none,48,2934,1,15385.39,17,1640.23,2325.51,7957.47,10.0,11,6,1,0,5.01,1,3,0.1164,0,1,INR,sha256:c3912488cc21b4ad,dev_fp_06c3173c
TXN-N-000850,ACC-00264,ACC-00206,1153.32,NEFT,2026-03-10T11:45:01,0,none,33,3042,1,30405.46,14,1140.31,9119.73,27196.14,10.0,11,1,0,0,2.9,0,4,0.2769,0,1,INR,sha256:91a2e0b6bf62b9ff,dev_fp_b0d5b488
TXN-N-000356,ACC-00165,ACC-00216,404.35,POS,2026-03-20T14:09:20,0,none,33,2060,2,14389.28,19,2367.31,10088.35,20714.88,10.0,14,4,0,0,27.04,0,1,0.267,0,4,INR,sha256:f481d2b53e0e3cae,dev_fp_4bd88a1d
TXN-N-000976,ACC-00200,ACC-00476,1996.46,POS,2026-02-16T09:04:16,0,none,27,3272,2,43893.1,11,1101.07,10628.66,21354.1,10.0,9,0,0,0,4.17,0,2,0.0642,0,1,INR,sha256:345d265a3082ca96,dev_fp_fc1927c3
TXN-N-000180,ACC-00189,ACC-00311,992.73,IMPS,2026-01-16T12:28:38,0,none,45,3235,2,12468.65,11,540.43,4732.71,12359.04,10.0,12,4,0,0,17.1,0,3,0.2694,0,1,INR,sha256:61aa5c72ebeaaeaa,dev_fp_19699a1f
TXN-N-000660,ACC-00219,ACC-00432,671.42,UPI,2026-03-08T13:27:38,0,none,54,2556,2,15694.91,16,3048.66,5646.39,10869.1,10.0,13,6,1,0,1.08,0,1,0.1558,0,1,INR,sha256:727fbd2a4c8c7e53,dev_fp_deba0405
TXN-N-000042,ACC-00082,ACC-00357,152.49,IMPS,2026-01-13T14:48:40,0,none,34,389,2,52170.01,17,940.22,11534.9,24962.04,10.0,14,1,0,0,5.01,0,1,0.2812,0,0,INR,sha256:daf20b4dbfb8972a,dev_fp_10c44ab5
